Phản hồi,Lecturer_Sentiment,Training_Sentiment,Facility_Sentiment,Others_Sentiment
nhiệt tình yêu nghề .,Tích cực 😄,,,
"ít kinh nghiệm , dạy khó hiểu , kỹ năng giao tiếp kém , giảng bài cực khó hiểu .",Tiêu cực 😠,,,
"dễ hiểu , tích cực trong việc giải đáp thông tin của học sinh .",Tích cực 😄,,,
thầy thân thiện .,Tích cực 😄,,,
hướng dẫn dạy học tận tình .,Tích cực 😄,,,
speaking vừa rồi cô không công bằng .,Tiêu cực 😠,,,
"em không thể nghe được thầy nói gì do khác vùng miền , cách giảng dạy chưa có sức hấp dẫn .",Tiêu cực 😠,,,
"cần giảm bớt căng thẳng , dồn dập tiết học .",,Tiêu cực 😠,,
cô hướng dẫn làm đồ án rất nhiệt tình .,Tích cực 😄,,,
"thầy giảng hay , dễ hiểu , có nhiều ví dụ .",Tích cực 😄,,,
"thầy dạy nhiệt tình , kiến thức bộ môn chuyên sâu , cần phát huy .",Tích cực 😄,,,
"giảng viên giảng dạy tốt , dễ hiểu .",Tích cực 😄,,,
"giảng viên giảng bài khó hiểu , đặt nặng lý thuyết khiến sinh viên khó hiểu dễ gây chán nản .",Tiêu cực 😠,,,
"nhiệt tình , nhưng đôi khi quá nhiệt tình , giảng bài một cách quá nhiều khiến em không thể nhớ hết được .",Tiêu cực 😠,,,
ôn kiến thức bằng cách chơi trò chơi .,Tích cực 😄,,,
môn này thầy dạy rất mơ hồ .,Tiêu cực 😠,,,
môn học cần phải gần gũi với thực tiễn ở việt nam .,,Tiêu cực 😠,,
"cô rất nhiệt tình , tận tâm và gần gũi .",Tích cực 😄,,,
giảng viên dạy rất dễ hiều .,Tích cực 😄,,,
"thầy có lòng giúp sinh viên , rất tốt .",Tích cực 😄,,,
cần tạo cảm hứng học hơn cho sinh viên .,Tiêu cực 😠,,,
sau môn học toàn kiến thức lý thuyết mà không biết vận dụng kiến thức đó như thế nào .,,Tiêu cực 😠,,
mini test trong cả khóa học nhiều hơn .,,,,
đồ án thầy phân tích rất chuyên sâu .,Tích cực 😄,,,
thầy cần sử dụng máy chiếu khi giảng bài vì lớp khá đông !,Tiêu cực 😠,,,
"thầy giảng dạy những phần kiến thức có hơi cao , sinh viên không nắm bắt kịp .",Tiêu cực 😠,,,
cần lắp thêm quạt và màn che cửa sổ .,,,Tiêu cực 😠,
"thầy ơi , giảng bài cho tụi em đi !",Tiêu cực 😠,,,
mong cô giúp đỡ để cải thiện vốn tự vựng tiếng anh .,Tiêu cực 😠,,,
"cô luôn động viên và định hướng sinh viên trong việc tự rèn luyện , trau dồi kỹ năng ngoại ngữ .",Tích cực 😄,,,
nên có giờ thực hành của môn học này .,,Tiêu cực 😠,,
giảng dạy tốt đạt hiểu quả cao .,Tích cực 😄,,,
"truyền đạt tốt , dễ hiểu .",Tích cực 😄,,,
"phòng đào tạo và khoa wzjwz84 nên thống nhất lại hình thức thi và nội dung thi cho hợp lý , tránh thay đổi hình thức thi vào gần sát cuối kỳ học .",,Tiêu cực 😠,,
"giảng viên luôn đến lớp đúng giờ , giảng dạy thân thiện , tận tâm .",Tích cực 😄,,,
"những bài thuyết trình chưa đủ để nâng cao kiến thức của cá nhân , chưa thực sự phù hợp với khả năng hiện tại của bản thân .",,Tiêu cực 😠,,
nhưng không sao .,,,,
"giảng viên dạy dễ hiểu , hướng dẫn bài tập cụ thể .",Tích cực 😄,,,
"cho thêm bài tập về nhà , đề tài thuyết trình bằng tiếng anh , bài viết .",,Tiêu cực 😠,,
"giảng viên dạy dễ hiểu , đi dạy đúng giờ .",Tích cực 😄,,,
giảng viên làm việc riêng khi sinh viên báo cáo .,Tiêu cực 😠,,,
"nhiệt tình , quan tâm giúp đỡ học sinh .",Tích cực 😄,,,
sức khỏe yếu .,,,,
giảng viên không sử dụng moodle để sinh viên nộp bài tập mà yêu cầu gửi qua mail cá nhân .,Tiêu cực 😠,,,
giảng viên quá tệ .,Tiêu cực 😠,,,
hài lòng hết !,,,,
thầy dạy rất đúng giờ .,Tích cực 😄,,,
thầy rất vui tính gần gũi .,Tích cực 😄,,,
lên lớp đầy đủ .,Tích cực 😄,,,
giáo viên lên lớp đúng giờ .,Tích cực 😄,,,
hướng dẫn cách học tiếng anh hiệu quả cho sinh viên !,Tích cực 😄,,,
nhiệt tình với sinh viên .,Tích cực 😄,,,
"đề thi không có tính phân loại về kiến thức nhiều , mà hơn nhau ở chỗ ai tỉ mỉ hơn , ai nhanh hơn .",,Tiêu cực 😠,,
khả năng sư phạm của cô theo em cần được cải thiện hơn .,Tiêu cực 😠,,,
thầy đẹp trai colonlove .,Tích cực 😄,,,
giảng viên thường xuyên tương tác với sinh viên trong lúc dạy .,Tiêu cực 😠,,,
cô nên yêu cầu sinh viên trả lời câu hỏi nhiều hơn .,Tiêu cực 😠,,,
cung cấp lượng lớn thông tin .,,,,
có nhiều thứ bổ ích .,,,,
thầy giảng rất kỹ từ lý thuyết cho đến bài tập .,Tích cực 😄,,,
nguyên kỳ này em thấy học được mỗi môn của thầy dạy là vô .,Tiêu cực 😠,,,
"thầy siêu dễ thương , dạy có tâm .",Tích cực 😄,,,
điều chỉnh trang thiết bị giảng dạy .,,,Tiêu cực 😠,
lo cho sinh viên .,Tích cực 😄,,,
đôi khi thầy hơi lan man .,Tiêu cực 😠,,,
cô giáo tuyệt vời .,Tích cực 😄,,,
"đi dạy đúng giờ , truyền đạt kiến thức dễ nắm bắt .",Tích cực 😄,,,
phần thực hành nếu có phải nộp bài nào để lấy điểm thì nên thông báo lên moodle và cho nộp online .,,Tiêu cực 😠,,
"sinh viên được chủ động trong giờ học , tự suy nghĩ , tham gia thảo luận về bài học và có liên hệ thực tế .",,,,
chưa từng gặp giảng viên wzjwz144 ở môn thực hành thiết bị mạng và truyền thông đa phương tiện .,Tiêu cực 😠,,,
hoạt động tham quan rất bổ ích .,Tích cực 😄,,,
thầy rất nhiệt huyết trong khi giảng bài .,Tích cực 😄,,,
"thầy dạy hay , dễ hiểu , cho bài tập nhiều nhưng thường quá giờ quy định .",Tích cực 😄,,,
"đôi khi thầy có đến trễ một chút nhưng các nội dung thầy giảng dạy đều đầy đủ , ngoài ra thầy còn tăng thêm các buổi tăng cường trước các ngày thi .",Tiêu cực 😠,,,
thầy không quan tâm tiến độ và bám sát hoạt động học của sinh viên .,Tiêu cực 😠,,,
quay video quá trình dạy .,,,,
trong quá trình dạy cô có liên hệ thực tế nhiều .,Tích cực 😄,,,
thầy dạy rất nhiệt tình ví dụ và lý thuyết dễ hiểu slide bài giảng tốt .,Tích cực 😄,,,
thầy dạy khá hay và kỹ .,Tích cực 😄,,,
truyền đạt rất tốt .,Tích cực 😄,,,
tận tâm và nhiệt tình trong giảng dạy .,Tích cực 😄,,,
"rất dễ hiểu , bài tập phong phú , đa dạng .",Tích cực 😄,,,
"cô dạy rất tận tình , tạo không khí thoải mái trong lớp học cung cấp tốt mọi kiến thức cho sinh viên quan tâm đến sinh viên .",Tích cực 😄,,,
vui nhiệt tình tận tâm .,Tích cực 😄,,,
yêu cầu bài lab chưa đủ rõ ràng .,,,,
"một vấn đề nữa , em mong quý thầy cô tạo một không khí hưng thú cho sinh viên , có thể kể thêm chuyện ngoài lề , bao giờ vui vẻ thì sinh viên cũng học tốt hơn , gò bó ép buộc mình vào một điều gì đó đôi khi lại phản tác dụng , em tin nếu làm được thế sinh viên sẽ tự giác đi học nhiều hơn , còn việc điểm danh thì thủ tục quá gây cho học sinh tâm lý trói buộc .",Tiêu cực 😠,,,
có chuẩn bị slide bài giảng chi tiết với nhiệt tình .,,,,
"thầy dạy nhiệt tình , cập nhật được kiến thức mới .",Tích cực 😄,,,
"giảng viên nhiệt huyết , rất có tâm colonhihi .",Tích cực 😄,,,
"dạy sai kiến thức về fork , sai giải thuật round - robin , sai kiến thức về bộ nhớ .",Tiêu cực 😠,,,
giảng viên thiếu trách nhiệm .,Tiêu cực 😠,,,
"rất thích cách dạy của thầy , dễ hiểu , thầy rất tận tình .",Tích cực 😄,,,
"cô vui tính , truyền đạt được ý kiến cho học sinh , tạo môi trường làm việc nhóm hiệu quả .",Tích cực 😄,,,
"cô dạy rất kỹ , nhiệt tình , cô luôn giám sát thái độ và chất lượng học tập của sinh viên , và luôn cóc những bào tập về nhà để sinh viên luyện tập thêm ở nhà .",Tích cực 😄,,,
"giảng viên theo dõi , giám sát quá trình thực hành .",Tích cực 😄,,,
"thầy cho cả lớp tranh luận về các quy luật , các cặp phạm trù , các nguyên lý của chủ nghĩa mác - lênin .",Tích cực 😄,,,
thầy dạy tâm huyết và nhiệt tình .,Tích cực 😄,,,
"trình bày vấn đề đơn giản , dễ tiếp thu .",Tích cực 😄,,,
"giảng viên nên có bài sửa cho những bài thực hành được cho làm , hoặc giảng lại cách làm sau đó .",Tiêu cực 😠,,,
cần đảm bảo thời gian lên lớp .,,Tiêu cực 😠,,
kiến thức truyền đạt .,Tích cực 😄,,,
"giảng viên nói to rõ , nhiệt tình , tận tâm .",Tích cực 😄,,,
cần tăng thêm bài tập thực tế .,,Tiêu cực 😠,,
cô tạo không khí vui vẻ và tạo được tinh thần học cho sinh viên .,Tích cực 😄,,,
"nhiệt tình , quan tâm sinh viên .",Tích cực 😄,,,
"thầy dạy nhiệt tình , cho nhiều ví dụ .",Tích cực 😄,,,
không giới thiệu khái quát về nội dung .,,Tiêu cực 😠,,
tâm huyết giảng dạy của giáo viên .,Tích cực 😄,,,
"những bài giảng thiết thực , kèm theo những hình thức học tập mới lạ làm cho sinh viên cảm thấy bớt căng thắng khi học .",,,,
tài liệu ôn tập thi không được cung cấp .,,Tiêu cực 😠,,
không thông báo rõ ràng lịch học .,,,,
"thầy tận tâm nhiệt tình , dạy sát nội dung môn học .",Tích cực 😄,,,
giảng viên khuyến khích sinh viên tự tìm hiểu .,Tích cực 😄,,,
nâng cấp phiên bản của các phần mềm .,,,,
"thầy dạy hay , dễ hiểu bài , em thích điều đó .",Tích cực 😄,,,
"giảng viên vui vẻ , hoạt bát , lun tiếp cận tìm hiểu sinh viên , giúp sinh viên hiểu bài tốt hơn .",Tích cực 😄,,,
mọi mặt đều tốt .,,,,
đó là ý kiến cá nhân của em .,,,,
cô đẩy nhanh quá nên chậm lại xíu .,Tiêu cực 😠,,,
"hướng dẫn và giảng dạy chi tiết , dễ hiểu .",Tích cực 😄,,,
"thầy nhiệt tình , giải đáp thắc mắc kịp thời .",Tích cực 😄,,,
thầy giải thích rất chi tiết nội dung bài .,Tích cực 😄,,,
"thầy cho các nhóm seminar dịch sách tiếng anh nhưng nhiều nhóm làm quá qua loa nên em không hiểu nội dung sách cho lắm , mặc dù thầy có giảng lại .",Tiêu cực 😠,,,
"thầy dạy nhiệt tình , vui tính , tận tâm !",Tích cực 😄,,,
tạm tạm .,,,,
"nên tăng thời lượng thực hành để đủ thời gian cho giảng viên hướng dẫn thực hành hướng dẫn đầy đủ cho sinh viên , môn này là môn quan trọng trước khi vào chuyên ngành .",,Tiêu cực 😠,,
buổi học nào thầy cũng có mặt đầy đủ .,Tích cực 😄,,,
"cách dạy không hay , dễ gây nhàm chán .",Tiêu cực 😠,,,
có đầy nhiệt tình và quan tâm việc học .,Tích cực 😄,,,
nên có các bài tập trên lớp và bài tập hàng tuần để rèn luyện kỹ năng và vận dụng kiến thức học được vào thực tế .,,Tiêu cực 😠,,
cần tài liệu point word để dễ tiếp thu .,,Tiêu cực 😠,,
cần phân bố thời gian thực hành và lý thuyết hợp lý hơn .,,Tiêu cực 😠,,
"giáo viên thân thiện , tận tâm , nhiệt tình .",Tích cực 😄,,,
thầy nên cho sinh viên làm nhiều loại bài tập .,Tiêu cực 😠,,,
"giáo viên dạy sát chương trình , lượng kiến thức truyền đạt đầy đủ .",Tích cực 😄,,,
"cô dạy hay , rất nhiệt tình với sinh viên .",Tích cực 😄,,,
"phương pháp truyền đạt thú vị , tiết học sôi động không gò bó .",Tích cực 😄,,,
"thầy wzjwz288 nhiệt tình , nghiêm túc .",Tích cực 😄,,,
mong thầy lên lớp đừng muộn quá .,Tiêu cực 😠,,,
cách học theo nhóm rất hay .,Tích cực 😄,,,
"hướng dẫn tốt , nhiệt tình giải đáp khi sinh viên có thắc mắc .",Tích cực 😄,,,
"giảng viên nhiệt tình dạy tốt , nhưng cô cập nhật điểm lâu , không up bài lên course .",Tiêu cực 😠,,,
"thầy không chủ động hướng dẫn , gây khó khăn trong việc áp dụng kiến thức .",Tiêu cực 😠,,,
cuối cùng em không biết môn học làm gì .,,Tiêu cực 😠,,
"giảng dạy đúng giờ , hiệu quả .",Tích cực 😄,,,
ít bài tập làm thêm .,,Tiêu cực 😠,,
chưa tạo được nhiều hoạt động trên lớp .,Tiêu cực 😠,,,
"giải tích là một môn học khó , thầy cần thêm thời gian giảng dạy và cho sinh viên một bài thi phù hợp trình độ đồng đều hơn .",Tiêu cực 😠,,,
"giảng viên nhiệt tình , vui tính , giảng hay và dễ hiểu .",Tích cực 😄,,,
"em thấy có vài vấn đề ở môn học này , thay vì nó là một môn học có thể thay bằng một đồ án chuyên ngành .",,Tiêu cực 😠,,
"ngoài ra , các bài hướng dẫn thực hành nên chú trọng vào các vấn đề của môn để sinh viên có thể vừa tiếp cận thực hành và tiếp cận với đồ án cuối kỳ .",,Tiêu cực 😠,,
quá nghiêm khắc .,Tiêu cực 😠,,,
một số chỗ nên giảng kỹ hơn .,Tiêu cực 😠,Tiêu cực 😠,,
"điểm thi còn nhiều bất cập , rất nhiều bạn còn phúc kháo .",,Tiêu cực 😠,,
"giáo viên giảng dễ hiểu , bài tập thầy cho có tính ứng dụng cao , và cần nhiều kiến thức để giải quyết .",Tích cực 😄,,,
"thầy rất nhiệt tình , giảng bài dễ hiểu và tận tâm .",Tích cực 😄,,,
"thầy giảng rõ ràng , dễ hiểu .",Tích cực 😄,,,
bài tập chưa đủ để sinh viên thấu hiểu .,,Tiêu cực 😠,,
"giảng dạy hay , nhiệt tình , vui tính .",Tích cực 😄,,,
"không hiểu thầy có phải là giảng viên không nữa , nói tiếng anh không thể nào nghe được , còn có thái độ không nghe góp ý của sinh viên nữa chứ , giải bài gì mà toàn "" this is .",Tiêu cực 😠,,,
"giảng viên nhiệt tinh , tận tâm .",Tích cực 😄,,,
giảng viên cần tập trung đi sâu vào kiến thức ngữ pháp và nhiều bài tập hơn .,Tiêu cực 😠,,,
"cô rất vui vẻ , nhiệt huyết .",Tích cực 😄,,,
"cô wzjwz306 cực kỳ nhiệt tình , luôn biết cách tạo cơ hội cho sinh viên , khuyến khích cự chủ động và sáng tạo trên lớp , thẳng thắng phê bình dù là cả lớp một cách hết sức xây dựng và thức tỉnh .",Tích cực 😄,,,
mỗi người giảng viên đều có một phương pháp dạy khác nhau và trình bày bài tập cũng khác nhau .,Tiêu cực 😠,,,
"đề thi nằm ngoài mục tiêu giảng dạy quá nhiều , đề trắc nghiệm khách quan mà cho tới 5 đáp án là không hợp lý .",,Tiêu cực 😠,,
"thoải mái , lắng nghe ý kiến sinh viên .",Tích cực 😄,,,
"sinh viên được chia nhóm và thực hành trên thiết bị thật 2 buổi , 1 buổi làm quen và một buổi hoàn tất là hơi thiếu .",,,,
cô cho nhiều bài tập để rèn luyện .,Tích cực 😄,,,
kiến thức môn học có ích .,,Tích cực 😄,,
"thầy khá nhiệt tình , các nội dung giảng dạy của thầy là những câu chuyện thực tế mà thầy trải qua vì vậy tụi em thích thú hơn .",Tích cực 😄,,,
cần có nhiều tài liệu được cung cấp ngay từ buổi học đầu tiên thuận lợi và tạo điều kiện cho sinh viên tìm hiểu và nghiên cứu .,,Tiêu cực 😠,,
"thầy wzjwz298 , dạy rất hay và dễ hiểu môn xác suất thống kê , cực kỳ thích cách giảng dạy của thầy , bài tập và slide bài giảng thầy đều gửi đầy đủ giúp sinh viên nắm bắt được bài giảng hiệu quả .",Tích cực 😄,,,
tốt .,,,,
"giảng viên tận tình , tâm huyết .",Tích cực 😄,,,
giúp nâng cao kiến thức .,,,,
nghỉ học nhưng không thông báo cho sinh viên biết trước .,Tiêu cực 😠,,,
đảm bảo giờ giấc lên lớp .,Tích cực 😄,,,
giảng viên giảng dạy nhiệt tình và hiệu quả .,Tích cực 😄,,,
"phương pháp giảng của thầy hơi trừu tượng , đề thi có lý thuyết mà thầy quên nhắc .",Tiêu cực 😠,,,
"sự nhiệt tình của giảng viên , tạo động lực cho sinh viên học tập tốt .",Tích cực 😄,,,
cần có nhiều thời gian hơn nữa để sinh viên có thể tiếp thu và vận dụng vào trong thực tế .,,Tiêu cực 😠,,
"thầy nhiệt tình , giảng hay .",Tích cực 😄,,,
"chấm điểm rộng rãi , không công bằng .",Tiêu cực 😠,,,
"đôi lúc thầy "" chia sẻ "" hơi nhiều thời gian và việc học vào chương trình thì bị bớt lại nhưng điều này cũng không mấy ảnh hưởng gì .",Tiêu cực 😠,,,
điều em hài lòng nhất đó là thầy rất là vui vẻ khi mà hỏi bài thầy và thầy rất nhiệt tình trong lúc giảng dạy .,Tích cực 😄,,,
nhiều trang thiết bị thực hành trong phòng thực hành điện tử cơ bản đa số hư hỏng nhiều cần phải thay mới .,,,Tiêu cực 😠,
môn game là môn khó mà lượng thời gian thực hành quá ít .,,Tiêu cực 😠,,
"slide bài giảng đầy đủ rõ ràng , giáo viên đúng giờ , tạo nhiều điều kiện cho sinh viên .",,Tích cực 😄,,
thầy rất nghiêm khắc .,Tích cực 😄,,,
cần chú ý khắc phục .,,,,
"vui vẻ , tận tình giải đáp thắc mắc .",Tích cực 😄,,,
"giảng viên giảng dạy quá áp lực , gây áp lực về điểm số cho sinh viên .",Tiêu cực 😠,,,
"thiết bị thực hành không đáp ứng yêu cầu môn học , như router , switch .",,Tiêu cực 😠,Tiêu cực 😠,
"thầy giảng hay , dễ hiểu , bài tập cho về nhà vừa sức với em .",Tích cực 😄,,,
nên có tiết thực hành hỗ trợ phần đồ án .,,Tiêu cực 😠,,
"giảng viên giảng dạy nhiệt tình , tận tâm , dễ hiểu .",Tích cực 😄,,,
nói chuyện điện thoại nhiều hơn giảng dạy .,Tiêu cực 😠,,,
giảng viên rất hòa đồng với học sinh .,Tích cực 😄,,,
khi dùng micro em nghe được hai giọng của thầy và của loa rất đau đầu .,Tích cực 😄,,,
điều này như lướt qua đầu tụi em và nó chả để lại ấn tượng gì nên trong bài thi giữa kỳ đa số là sai phần bài tập .,,Tiêu cực 😠,,
còn nghỉ .,Tiêu cực 😠,,,
"quản lý lớp tốt , truyền đạt hay .",Tích cực 😄,,,
"gần gũi , phương pháp dạy phù hợp .",Tích cực 😄,,,
"trong quá trình giải bài tập , giảng viên đưa ra nhiều nhận xét khác nhau , mỗi buổi lại giải một cách khác nhau khiến sinh khiên không xác định được cách làm , hoang mang .",Tiêu cực 😠,,,
giao viên dạy rất nhiệt tình .,Tích cực 😄,,,
"có bài thì một tuần deadline , có bài thì cả tháng mới deadline , có tuần thì deadline ba bài cùng lúc .",,,,
"cô wzjwz82 dạy rất khó hiểu , nhiều bạn trong lớp không nắm được .",Tiêu cực 😠,,,
"hy vọng cô thay đổi cấu trúc đề thi thực hành , thực ra khó thì không khó lắm , nhưng đánh máy không kịp .",Tiêu cực 😠,,,
"thầy tận tâm , nhiệt tình , giảng bài trên lớp kỹ .",Tích cực 😄,,,
giảng viên luôn nhiệt tình với sinh viên trong quá trình giảng dạy .,Tích cực 😄,,,
"cô dạy vui vẻ , thân thiện với sinh viên .",Tích cực 😄,,,
môn học giúp hiểu rõ về từng ngành .,,Tích cực 😄,,
"nhiệt huyết , vui tính .",Tích cực 😄,,,
nên thường xuyên điểm danh hơn .,Tiêu cực 😠,,,
cần phòng thực hành môn học .,,Tiêu cực 😠,Tiêu cực 😠,
đây là một giảng viên có số lượng fan đông nhất trường .,Tích cực 😄,,,
"thầy dạy và hướng dẫn sinh viên làm đồ án rất tốt và rất nhiệt tình , luôn giải đáp các câu hỏi của sinh viên rất nhanh .",Tích cực 😄,,,
nên mất tiết khá nhiều .,,Tiêu cực 😠,,
"sự nhiệt tình tận tâm , nếu có thể tăng tiết cho môn học này thì rất tốt ạ !",Tích cực 😄,,,
cô chấm bài tập còn khắt khe .,Tích cực 😄,,,
cô nên sử dụng micro .,Tiêu cực 😠,,,
chỗ thực hành rất nắng và nóng và dụng cụ thực hành rất có hạn .,,Tích cực 😄,,
chưa có diễn đàn trên courses .,,Tiêu cực 😠,,
giải bài tập nhiều hơn .,Tiêu cực 😠,,,
nên nhanh chóng đưa thiết bị thật vào thực hành .,,,Tiêu cực 😠,
"có nhiều trò chơi mới lạ , vui tươi .",Tích cực 😄,,,
mở rộng hệ thống bài giảng .,,,,
đề thi ra không hợp lý .,,Tiêu cực 😠,,
"nội dung thi , kiểm tra quá rộng .",,Tiêu cực 😠,,
"thân thiện , tận tình hướng dẫn .",Tích cực 😄,,,
"cô rất nhiệt tình , dạy kỹ .",Tích cực 😄,,,
giảng viên nên hướng dẫn sinh viên sử dụng myelt trong việc tự học ở nhà .,Tiêu cực 😠,,,
"cô giảng hay , truyền đạt được kiến thức đầy đủ .",Tích cực 😄,,,
luôn vui vẻ và rất nghiêm túc trong chuyện giảng dạy .,Tích cực 😄,,,
"do năm nay chường trình av nâng lên một bậc , nên cũng giống như em vừa học xong av1 , lại nhảy lên thẳng av3 của năm ngoái .",,Tiêu cực 😠,,
trong một khoảng thời gian ngắn không thể vừa tìm hiểu vừa làm được .,,Tiêu cực 😠,,
"cách dạy thầy rất tốt , nâng cao khả năng , kiến thức của sinh viên .",Tích cực 😄,,,
tài liệu .,,Tích cực 😄,,
đưa ra nhiều ví dụ cụ thể minh họa cho bài giảng giúp cho sinh viên phân biệt rõ các khái niệm và nắm bắt bài học .,Tích cực 😄,,,
"thầy dạy hay , thầy có kiến thức sâu rộng nhưng lại không lên lớp đủ giờ học , thường xuyên nghỉ học không được báo trước làm sinh viên rất hoang mang , thiếu kiến thức .",Tiêu cực 😠,,,
giọng rõ dễ nghe .,Tích cực 😄,,,
"đúng giờ , dễ hiểu .",Tích cực 😄,,,
em chưa bao giờ gặp giáo viên như vậy trong suốt 3 năm năm đại học .,Tiêu cực 😠,,,
thiếu kinh nghiệm .,,,,
giảng viên khá tích cực trong việc trao đổi các vấn đề về đồ án với sinh viên .,Tích cực 😄,,,
thời gian làm bài tập còn hơi dài .,,Tiêu cực 😠,,
"giảng viên rất tâm huyết , nhiệt tình .",Tích cực 😄,,,
"lý thuyết quá nhiều , không nhiệt tình với sinh viên .",,Tiêu cực 😠,,
hướng dẫn giải bài tập rất hay và chi tiết .,Tích cực 😄,,,
thầy giảng bài dễ hiểu và tận tâm .,Tích cực 😄,,,
"thưa , thầy luôn nhiệt tâm và rất gần gũi với sinh viên .",Tích cực 😄,,,
"cô dạy rất nhiệt tình , hiểu tâm lý sinh viên , rất vui tính .",Tích cực 😄,,,
"môn học khá nặng và có nhiều phần rất khó hiểu , thời gian phân bố các chương cần có sự thay đổi cho phù hợp , một số phần khá khó nhưng chỉ học trong vòng vài tiết làm sinh viên rất khó hiểu .",,Tiêu cực 😠,,
"học lý thuyết khác hẳn với thực hành , học nhiều buổi thực hành nhưng thầy chỉ cho 2 bài thực hành về sân bóng mà đa số sinh viên không hiểu đề .",Tiêu cực 😠,,,
phương pháp dạy dễ hiểu .,Tích cực 😄,,,
chất lượng đào tạo quá tốt .,,Tích cực 😄,,
"em có ý kiến là thầy nên ra thêm nhiều bài tập , chia sẻ thêm nhiều tài liệu hơn .",Tiêu cực 😠,,,
thầy giảng bài rất nhiệt tình và đầy đủ kiến thức của môn học .,Tích cực 😄,,,
"giảng viên đảm bảo đủ các buổi học , nhưng rất thường xuyên đến lớp trễ .",Tiêu cực 😠,,,
giọng thầy hơi nhỏ và đều đều làm sinh viên buồn ngủ .,Tiêu cực 😠,,,
"giảng viên dạy nhiệt tình , dễ hiểu , kỹ càng , chu đáo .",Tích cực 😄,,,
thầy vui vẻ tận tâm .,Tích cực 😄,,,
"thầy dạy chi tiết , dễ hiểu bài , luôn đi vào các phần trọng tâm của bài .",Tích cực 😄,,,
"hiện nay theo em nhận thấy , trong khi lúc học thì sinh viên chỉ được học về doubledot kỹ năng ghi chép , kỹ tổ chức cuộc họp .",,Tiêu cực 😠,,
"giảng dạy hay , dễ hiểu .",Tích cực 😄,,,
thầy truyền đạt nhiều kiến thức hay .,Tích cực 😄,,,
"điểm thực hành nên chia ra nhiều mục doubledot chuyên cần , bài tập , kiểm tra , kiểm tra cuối kỳ .",,Tiêu cực 😠,,
"giảng viên nhiệt tình , đưa ra nhiều bài tập .",Tích cực 😄,,,
"thầy dạy rất hay , rất dễ hiểu .",Tích cực 😄,,,
cô dạy có tâm nhất luôn colonlove .,Tích cực 😄,,,
"cô vui tính , hướng dẫn rất tận tình .",Tích cực 😄,,,
"khả năng truyền đạt tốt , tận tâm , chu đáo .",Tích cực 😄,,,
"mong cô thay đổi một chút về phương pháp như sau , có lẽ sẽ giúp sinh viên tiếp cận dễ dàng với bài học hơn .",Tiêu cực 😠,,,
nên cho làm bài tập trên lớp sau mỗi chương .,Tiêu cực 😠,Tiêu cực 😠,,
cô dạy hay nhiệt tình nhất trong những giáo viên anh văn em đã học !,Tích cực 😄,,,
đi dạy luôn trễ từ 10 - 20 phút .,Tiêu cực 😠,,,
hoạt động giảng dạy logic và dễ hiểu không có gì để ý kiến .,Tích cực 😄,,,
"thầy nhiệt tình , chỉ dạy dễ hiểu .",Tích cực 😄,,,
buồn ngủ .,,,,
"thầy dạy hay , tận tình .",Tích cực 😄,,,
thầy đẹp trai nhưng trông có pha chút nữ tính .,Tiêu cực 😠,,,
"giáo viên chưa được tận tâm cho lắm , nhiều buổi thực hành giáo viên chỉ đến đưa thiết bị rồi đi họp .",Tiêu cực 😠,,,
cách dạy của cô rất thoải mái không gò bó sinh viên .,Tích cực 😄,,,
"tận tình , truyền đạt dễ hiểu .",Tích cực 😄,,,
có nhiều trò chơi nhỏ .,,,,
"trong giờ học thì không tập trung vào các nội dung chính của bài mà hỏi sinh viên những câu không liên quan , liên quan về vấn đề riêng tư , và em không thấy được sự áp dụng vô bài học .",Tiêu cực 😠,,,
"phòng học còn rất là bụi , phấn viết bảng thì thiếu trầm trọng , khăn lau bảng thì rách tả tơi .",,,Tiêu cực 😠,
nếu nghỉ học thì mong thầy báo sớm cho tụi em và mong thầy giải hoặc hướng tụi em cách làm một bài tập cũ hoặc mới một cách cụ thể hơn .,Tiêu cực 😠,,,
cho nhiều bài tập về nhà để luyện các kỹ năng nghe và đọc .,Tích cực 😄,,,
slide môn học có đôi chỗ bị sai .,,Tiêu cực 😠,,
"phòng học được sắp xếp gần nơi thi công wzjwz125 ồn ào , không học được .",,,Tiêu cực 😠,
"giảng viên hòa đồng , nhiệt huyết , tận tâm .",Tích cực 😄,,,
chất lượng giảng dạy .,,,,
"nếu được thì mong nhà trường hoặc giảng viên giới thiệu rõ hơn về môn học , tầm ảnh hưởng tiên quyết của nó đối với các môn học chuyên ngành về sau .",,Tiêu cực 😠,,
do bản thân .,,,,Trung lập 😐
"giảng viên hơi gầy , cần bồi bổ thể chất colonsmile .",Tiêu cực 😠,,,
"giáo viên vui tính , nhiệt huyết .",Tích cực 😄,,,
"kiến thức sát với thực tế , được cập nhật .",,Tích cực 😄,,
"thầy rất vui và dạy rất nhiệt tình , kiến thức rất rộng .",Tích cực 😄,,,
thiết bị còn quá cũ kỹ .,,,Tiêu cực 😠,
"cô đọc slides nhanh quá , ít giảng cụ thể và nêu ví dụ lên bảng .",Tiêu cực 😠,,,
"nhiệt tình , vui vẻ , tận tâm .",Tích cực 😄,,,
thầy dạy rất có tâm và giúp chúng em hiểu rất sâu .,Tích cực 😄,,,
giáo viên giảng dạy hay .,Tích cực 😄,,,
